,Seconds,Q_flow Laundry [kW]_model,T_sup-Laundry[°C]_model,T_ret-Laundry[°C]_model
0,0,0.05309697415751524,28.4,10
1,3600,0.013074483325481615,28.4,10
2,7200,0.045559767279838036,28.4,10
3,10800,0.015297036072854531,28.4,10
4,14400,0.0,28.4,10
5,18000,0.05484107164538106,28.4,10
6,21600,0.14873481452574397,28.4,10
7,25200,0.29452726798735784,28.4,10
8,28800,0.4260838783982407,28.4,10
9,32400,0.43110081676652096,28.4,10
10,36000,0.4321280976141261,28.4,10
11,39600,0.4479500237184674,28.4,10
12,43200,0.45571541729330256,28.4,10
13,46800,0.4534271382473692,28.4,10
14,50400,0.46031077925415004,28.4,10
15,54000,0.46598274120760835,28.4,10
16,57600,0.43544560638031843,28.4,10
17,61200,0.43118308942785555,28.4,10
18,64800,0.4610201252257713,28.4,10
19,68400,0.4277814209631206,28.4,10
20,72000,0.4182497919084551,28.4,10
21,75600,0.29176157877618536,28.4,10
22,79200,0.1332411489988677,28.4,10
23,82800,0.0,28.4,10
24,86400,0.013233655960777921,28.4,10
25,90000,0.020877618442224945,28.4,10
26,93600,0.0,28.4,10
27,97200,0.03440039361470343,28.4,10
28,100800,0.0,28.4,10
29,104400,0.036886179768217224,28.4,10
30,108000,0.10204753826543704,28.4,10
31,111600,0.24892696104967665,28.4,10
32,115200,0.3675746257934208,28.4,10
33,118800,0.4292504293671496,28.4,10
34,122400,0.37453849063814965,28.4,10
35,126000,0.4122467971736818,28.4,10
36,129600,0.43528219835476895,28.4,10
37,133200,0.34695789245490183,28.4,10
38,136800,0.443461518204331,28.4,10
39,140400,0.4287751470414961,28.4,10
40,144000,0.4451384459864274,28.4,10
41,147600,0.39967168253045887,28.4,10
42,151200,0.409530628553719,28.4,10
43,154800,0.404981537628001,28.4,10
44,158400,0.3636829595049304,28.4,10
45,162000,0.26982994713246045,28.4,10
46,165600,0.11922203494265082,28.4,10
47,169200,0.02112003919208682,28.4,10
48,172800,0.023122700701378042,28.4,10
49,176400,0.0,28.4,10
50,180000,0.0,28.4,10
51,183600,0.026836621295025717,28.4,10
52,187200,0.025976940407824587,28.4,10
53,190800,0.007877613656043858,28.4,10
54,194400,0.0,28.4,10
55,198000,0.009918224273533208,28.4,10
56,201600,0.014989907266116357,28.4,10
57,205200,0.029570230479509917,28.4,10
58,208800,0.02086125705678409,28.4,10
59,212400,0.03009525936113249,28.4,10
60,216000,0.02561165171094885,28.4,10
61,219600,0.025053520976383085,28.4,10
62,223200,0.0,28.4,10
63,226800,0.0004611577574050292,28.4,10
64,230400,0.0,28.4,10
65,234000,0.0,28.4,10
66,237600,0.0,28.4,10
67,241200,0.010891719557219785,28.4,10
68,244800,0.0,28.4,10
69,248400,0.014096776300657785,28.4,10
70,252000,0.0,28.4,10
71,255600,0.0074782795221884,28.4,10
72,259200,0.03647968370941399,28.4,10
73,262800,0.0020397703907459085,28.4,10
74,266400,0.03145548409212899,28.4,10
75,270000,0.004077047748475115,28.4,10
76,273600,0.0,28.4,10
77,277200,0.015379443957658535,28.4,10
78,280800,0.10822388873549826,28.4,10
79,284400,0.3112639413298389,28.4,10
80,288000,0.4882435885775726,28.4,10
81,291600,0.4986993805812483,28.4,10
82,295200,0.4884079801524891,28.4,10
83,298800,0.5338595680357353,28.4,10
84,302400,0.5081113646986054,28.4,10
85,306000,0.4896538160242525,28.4,10
86,309600,0.5167776281784916,28.4,10
87,313200,0.5345298879214571,28.4,10
88,316800,0.4781714528374943,28.4,10
89,320400,0.4611550211740829,28.4,10
90,324000,0.48771334416270057,28.4,10
91,327600,0.48813075231009256,28.4,10
92,331200,0.46395857013126085,28.4,10
93,334800,0.3720574706782839,28.4,10
94,338400,0.19592974370368968,28.4,10
95,342000,0.0,28.4,10
96,345600,0.015278896069753325,28.4,10
97,349200,0.0,28.4,10
98,352800,0.014849429112736305,28.4,10
99,356400,0.0,28.4,10
100,360000,0.0,28.4,10
101,363600,0.0,28.4,10
102,367200,0.09785603051892644,28.4,10
103,370800,0.24432752048022405,28.4,10
104,374400,0.37118714570653594,28.4,10
105,378000,0.40178648642100007,28.4,10
106,381600,0.4133136777689135,28.4,10
107,385200,0.43490312256368585,28.4,10
108,388800,0.417420178213906,28.4,10
109,392400,0.4251397094532556,28.4,10
110,396000,0.41915528579441075,28.4,10
111,399600,0.42076622467011654,28.4,10
112,403200,0.42488310805005197,28.4,10
113,406800,0.40369591978550246,28.4,10
114,410400,0.4089963768885458,28.4,10
115,414000,0.4195974302148275,28.4,10
116,417600,0.36690554495844674,28.4,10
117,421200,0.26730612727112507,28.4,10
118,424800,0.11374868418171524,28.4,10
119,428400,0.023844089466776623,28.4,10
120,432000,0.0,28.4,10
121,435600,0.005285311233604176,28.4,10
122,439200,0.0,28.4,10
123,442800,0.06337631355163523,28.4,10
124,446400,0.013301988156870028,28.4,10
125,450000,0.002875628704804918,28.4,10
126,453600,0.00799937700373314,28.4,10
127,457200,0.03803601879881472,28.4,10
128,460800,0.0,28.4,10
129,464400,0.03261106745175975,28.4,10
130,468000,0.0523639763513727,28.4,10
131,471600,0.027596028523144744,28.4,10
132,475200,0.0,28.4,10
133,478800,0.03954803895663361,28.4,10
134,482400,0.03253274618259068,28.4,10
135,486000,0.0,28.4,10
136,489600,0.04411494045312586,28.4,10
137,493200,0.02518237748621924,28.4,10
138,496800,0.02648271407167343,28.4,10
139,500400,0.0,28.4,10
140,504000,0.0,28.4,10
141,507600,0.019223865646424247,28.4,10
142,511200,0.0,28.4,10
143,514800,0.0,28.4,10
144,518400,0.0,28.4,10
145,522000,0.0029913038620257184,28.4,10
146,525600,0.001392793487980952,28.4,10
147,529200,0.01665150565085379,28.4,10
148,532800,0.0,28.4,10
149,536400,0.0,28.4,10
150,540000,0.14863744632022644,28.4,10
151,543600,0.2963909091260521,28.4,10
152,547200,0.3864199875731383,28.4,10
153,550800,0.4118357826480273,28.4,10
154,554400,0.3776451052350929,28.4,10
155,558000,0.37418828300079626,28.4,10
156,561600,0.3881110603528299,28.4,10
157,565200,0.410194402875842,28.4,10
158,568800,0.38788490451111135,28.4,10
159,572400,0.4262387791480598,28.4,10
160,576000,0.4269577087772644,28.4,10
161,579600,0.4150754595751514,28.4,10
162,583200,0.3893332427249669,28.4,10
163,586800,0.4025673718462485,28.4,10
164,590400,0.37003035024206354,28.4,10
165,594000,0.26189108423776575,28.4,10
166,597600,0.12600801199969552,28.4,10
167,601200,0.013418586972387255,28.4,10
168,604800,0.0,28.4,10
169,608400,0.0,28.4,10
170,612000,0.0,28.4,10
171,615600,0.0,28.4,10
172,619200,0.0,28.4,10
173,622800,0.0,28.4,10
174,626400,0.10300183119784827,28.4,10
175,630000,0.2533672182304128,28.4,10
176,633600,0.3567503810071541,28.4,10
177,637200,0.41393301895277246,28.4,10
178,640800,0.3918180580927725,28.4,10
179,644400,0.4214609720797773,28.4,10
180,648000,0.40713559735608046,28.4,10
181,651600,0.41700300842639365,28.4,10
182,655200,0.397672289275907,28.4,10
183,658800,0.4208935822354747,28.4,10
184,662400,0.4051355317568772,28.4,10
185,666000,0.41975116688470776,28.4,10
186,669600,0.40191954598619006,28.4,10
187,673200,0.4123188596678621,28.4,10
188,676800,0.33380417413373636,28.4,10
189,680400,0.3123880587214431,28.4,10
190,684000,0.13913038504423036,28.4,10
191,687600,0.023940248523860064,28.4,10
192,691200,0.012457825500429684,28.4,10
193,694800,0.0,28.4,10
194,698400,0.0,28.4,10
195,702000,0.02363987945023788,28.4,10
196,705600,0.0,28.4,10
197,709200,0.0012998904488840462,28.4,10
198,712800,0.09599642755526097,28.4,10
199,716400,0.2797619386181945,28.4,10
200,720000,0.43789800833407033,28.4,10
201,723600,0.4674577559541363,28.4,10
202,727200,0.4704308187775733,28.4,10
203,730800,0.44759690671756647,28.4,10
