,Seconds,Q_flow Refrigeration [kW]_model,T_sup RefrigerationT [°C]_model,T_ret RefrigerationT [°C]_model
0,0,0.32274466811973135,69.44030648799213,24.31833477320348
1,3600,0.26755184176554836,69.01593674530857,26.538047533869147
2,7200,0.18755112387135586,69.14817323232124,30.25145811414505
3,10800,0.3222543825806678,66.92717096439921,26.037230985757272
4,14400,0.356010187682474,62.34294818548475,23.712994683272537
5,18000,0.24978025292360087,69.15918094731639,24.063193671582027
6,21600,0.36477277080890863,67.18841870395964,27.27474703272123
7,25200,0.47246705083581814,67.4210076605681,28.478723187810942
8,28800,0.5088199180420234,63.42484282984741,25.64883477140041
9,32400,0.5194316364968694,67.08614169071528,27.782454663292107
10,36000,0.5051802592859519,67.58383088330352,27.400817278730788
11,39600,0.5607334823463175,66.56035948493141,25.32105138359695
12,43200,0.6353208992348639,68.41317170838087,26.689136924208803
13,46800,0.5957853451581913,65.71233662028041,27.194513834120787
14,50400,0.548231518046662,64.6761467564184,25.71603887894804
15,54000,0.5206893025036676,63.682757460739346,26.30401420361326
16,57600,0.46988818821378814,66.88026140240602,24.58942210314161
17,61200,0.5168713898408533,66.8323854533784,25.546631713786052
18,64800,0.5329024139397649,73.69862520461072,27.047262590553192
19,68400,0.6356036892717191,64.11100056720859,28.435694301721192
20,72000,0.48761155909371984,61.9381692588967,24.214033125297593
21,75600,0.33762414106898253,65.53759087019053,25.438517716417817
22,79200,0.2899764655568728,63.671195031287674,23.54394576451926
23,82800,0.30365568623202005,66.2321805818571,26.449762170747185
24,86400,0.3441158308517686,68.24664084509945,26.16671938557264
25,90000,0.3642261070958627,68.7179562038996,26.131059959348615
26,93600,0.32851833842291883,67.5024359836644,27.64597392244992
27,97200,0.37347658701584757,66.21053794698034,25.789684381431087
28,100800,0.4139755008891026,67.00001312536078,26.216885460653323
29,104400,0.35775072794437196,69.85917885022548,28.098762253872934
30,108000,0.471154757833487,70.43429408604842,28.330584289720147
31,111600,0.6139841044603364,68.80165764798376,29.991435544144593
32,115200,0.715975105735939,69.6375191146296,25.169947311725576
33,118800,0.5607576485205406,69.0816028638878,25.928794046889077
34,122400,0.7163386397525445,67.42930895976745,27.122434520074282
35,126000,0.6767182654810304,67.78151132630681,27.478311033891522
36,129600,0.7955428922149236,67.30151431441574,26.008533388985562
37,133200,0.7236150981782982,67.5807136953557,27.135023010706433
38,136800,0.7385878434352898,69.6893924847545,25.04924161925498
39,140400,0.658394858259814,66.10260841315207,24.36453103348741
40,144000,0.6011368754712076,70.72516507368182,24.634666111803426
41,147600,0.6932343599596654,72.55114712894998,29.26925318705826
42,151200,0.7898584667033594,73.91296809322904,27.3080765534971
43,154800,0.8137540706479015,66.97336061820502,27.279238890787298
44,158400,0.6550417774617062,68.7898027767561,27.163744534006486
45,162000,0.3669078014515586,69.85383730392563,24.69315011733446
46,165600,0.339022243065368,71.31272911550009,22.504108546691562
47,169200,0.33892585534999164,66.02796738785923,25.727494810042398
48,172800,0.37650702822450755,64.67113942222599,26.448348286030072
49,176400,0.3408719273015393,66.34227583429974,27.81811246176866
50,180000,0.3057731438031471,64.97788874835125,27.48574942768347
51,183600,0.4469524180784846,66.93271090176358,25.938995659897028
52,187200,0.5269832321913458,64.79109059635176,25.325581618589318
53,190800,0.620677507659825,66.33930042559368,26.40508934798928
54,194400,0.6078135476581727,70.3920273122206,27.926637422786175
55,198000,0.569186650116591,68.28909268498342,26.99171697461473
56,201600,0.6573937285915488,65.30857603865145,26.83250037301262
57,205200,0.5384871720426481,66.02978635667034,27.459619094767497
58,208800,0.589745698526216,68.6842738137096,25.3224838251659
59,212400,0.6636073406093492,65.57350468444785,26.962835874113303
60,216000,0.6929531005413553,63.619423702140594,27.70437982622835
61,219600,0.7166145375657446,66.66437394207209,24.096533503921382
62,223200,0.6642903500245695,63.46138573718816,25.119246284360123
63,226800,0.6154455022822325,60.471580736769255,25.955280467593823
64,230400,0.549385829654388,64.73050128892218,23.238713648602094
65,234000,0.6303783210958924,67.79309473751844,28.018956079673814
66,237600,0.6472961663546547,66.88455856252108,27.9451331655949
67,241200,0.6196021923834135,63.335877683301234,27.211630258375624
68,244800,0.511420559963078,64.77657343673258,25.097516591409146
69,248400,0.2861261164512971,63.42485610383717,24.057660259335353
70,252000,0.34462744864354544,64.14008536500496,25.993505170864772
71,255600,0.3999983335205268,63.29534384645048,26.531705610344883
72,259200,0.31025035562682185,65.45573876433426,27.079385840153698
73,262800,0.32676565298944177,67.28796375391597,26.670838066439828
74,266400,0.16936727165116455,66.31008565667754,26.49079038355588
75,270000,0.29930787663942093,63.260045473939705,25.051201767281608
76,273600,0.2920751445904876,60.829897720415126,25.57083331508817
77,277200,0.35276401111220884,65.6132974676482,24.566177689764118
78,280800,0.3441651320461733,65.0655580268791,26.98743454885239
79,284400,0.4548954438700324,65.39481545685052,26.49568179578594
80,288000,0.5637172451908962,65.46044504219282,27.32883055728736
81,291600,0.5397436265337548,65.63881255731933,25.675191679339523
82,295200,0.5446459452158364,67.41942017740821,25.527335566786704
83,298800,0.5823725930234527,62.683477528348625,27.126609740839097
84,302400,0.6558496975285527,62.439540979757076,26.839241933873687
85,306000,0.6028893280690089,66.02941315103523,28.55471445402194
86,309600,0.5503463389904747,64.56187965536434,25.9340777266616
87,313200,0.5355444615282574,61.87029304854131,23.970873221922197
88,316800,0.5161235217512811,63.89870622795126,27.348099369064474
89,320400,0.4352105707487301,69.72729334843686,26.97921982977355
90,324000,0.5441663146750466,66.85426462757734,27.58692530038012
91,327600,0.6136527868934165,62.56655027524395,29.23646866734046
92,331200,0.5319292025072029,64.69232289834432,26.72805198618093
93,334800,0.35252886544590833,67.81146622459983,25.113993050439714
94,338400,0.33382828065055803,63.07718551378454,24.54917942510244
95,342000,0.22805673920627234,67.38424762098519,26.946480291851405
96,345600,0.36148842285987104,67.44856632304305,27.43596892526556
97,349200,0.3001155470018851,67.67192164102808,27.896402753893152
98,352800,0.29589688244348733,66.57393197022523,25.717812134549273
99,356400,0.35269246605008303,64.877607950092,26.07521662013287
100,360000,0.41864957802798985,65.50501692242433,24.389666655795317
101,363600,0.3726003206005067,68.10485668413841,25.759998733587448
102,367200,0.45516946934165314,70.05138955533528,28.59875307982782
103,370800,0.5560321270535747,64.03623075131102,26.174275129347368
104,374400,0.6260402960472427,67.9193502442447,26.361402546126826
105,378000,0.5603679283697782,65.74512343987743,25.04404401101793
106,381600,0.6333199114956383,65.61066380123576,26.694081461511953
107,385200,0.6944846661752608,64.71962745309558,24.2612309690741
108,388800,0.675757875745152,68.60713584797091,26.72631830676945
109,392400,0.6966885983782888,64.24272645999022,26.039919252959347
110,396000,0.5908073142815204,65.51424891064661,25.014190434917424
111,399600,0.6235167824596352,64.45997735615465,23.07308633909725
112,403200,0.618160542377397,69.15544699298265,27.006283805302076
113,406800,0.5884417571567755,68.10118584632359,26.48141233715955
114,410400,0.6197683237978587,67.01464652229082,27.10451405712001
115,414000,0.7735494614299198,65.7426747225113,26.30786730391504
116,417600,0.617228403126833,67.68412608765733,24.926716229628447
117,421200,0.4374966310122185,62.430026670836675,24.360961318661367
118,424800,0.319668902705238,63.87537926832086,23.116692855964168
119,428400,0.3423172186340067,70.02694899846468,26.658690004071833
120,432000,0.33178449010585626,64.13095481713188,27.09820508592737
121,435600,0.32797456735615627,69.29718109822223,29.144785648979774
122,439200,0.19398465166533865,64.20199179319613,27.389821149310347
123,442800,0.3116495673058945,66.99260012910362,26.351932697166284
124,446400,0.49556750455929116,65.76112436857248,26.467494867024737
125,450000,0.5146613964748035,65.57956714144122,27.164784724828678
126,453600,0.5694618822986756,72.0059141032973,28.57691450596925
127,457200,0.6036997713095273,66.51633153275671,29.390912248310695
128,460800,0.5601144288150115,64.9381936269159,27.28462503731711
129,464400,0.4716712879489693,66.59552473836854,26.36040331756954
130,468000,0.5190429162559262,64.67408698678807,27.83389723072071
131,471600,0.5479110864255011,64.02167365089713,29.246770189117562
132,475200,0.6031355794666915,68.46980832426652,29.815127304459494
133,478800,0.5626359965916304,67.45562166962726,28.430522973732206
134,482400,0.6204031064497912,62.332403196982206,28.673728530902846
135,486000,0.5447871938633008,62.240201009521876,25.84097135629216
136,489600,0.5142102577152466,65.88205909019145,26.610263096607472
137,493200,0.4386778629229628,67.96163935645468,29.18294562845812
138,496800,0.6009673942940713,66.39492077038602,28.238450281186424
139,500400,0.5492435549855439,63.31571099894865,29.36179954894459
140,504000,0.4257230604638919,61.43190479523928,25.8366057692129
141,507600,0.31292600765784084,67.10851351042105,26.49867734554023
142,511200,0.31403491881939366,66.81991729429033,26.087234053231153
143,514800,0.3194649815223899,62.836532383013186,25.580725970000714
144,518400,0.3502763608247225,65.09678159407285,24.991132103634786
145,522000,0.30111064219430184,64.6566456415243,27.259039877454715
146,525600,0.29931863296869404,64.07507976753648,26.664259251154366
147,529200,0.2703473917769465,64.91855028628804,22.266922254932524
148,532800,0.37596191089934305,62.7397508218264,24.23729144528911
149,536400,0.43575043300771243,61.72864097090884,26.04787243763729
150,540000,0.35389882575798837,65.67741838514246,25.92255312486955
151,543600,0.5599504740568156,66.6638149398374,25.149545996623193
152,547200,0.5650199598328696,67.75319142372162,25.389350911954942
153,550800,0.5405277622656024,62.434505001684876,22.91910707302067
154,554400,0.5336531880548793,63.50518963009407,25.27094881058263
155,558000,0.5989175655274025,65.81799564401301,24.71662828705487
156,561600,0.6983123058372834,60.80250359619298,26.27312368877584
157,565200,0.6876161307584755,64.85763691739294,24.853949001461636
158,568800,0.6189576295379258,62.307785897341006,26.458476070117754
159,572400,0.5515050995191407,62.24079699998403,23.686852723778436
160,576000,0.5397893380829853,65.73840549221464,25.913219797252562
161,579600,0.5933076333143591,68.28331841711702,24.475222575992348
162,583200,0.6209575114663157,65.49230497035582,26.80342718651979
163,586800,0.6941434228271076,60.73230941836589,25.613319696886652
